"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSRNOG00000000035"	0	NA	NA	NA	NA	NA
"ENSRNOG00000000041"	1.34750440950896	0.0646678121914508	1.83000328178639	0.0353375389186867	0.971810590283772	NA
"ENSRNOG00000000043"	112.344798945744	0.229199625529434	0.349902313184561	0.655038897695253	0.512442710456641	0.757812367676246
"ENSRNOG00000000044"	431.806637355227	0.0543890926449005	0.144671908617862	0.375947847543536	0.706955668150751	0.885939648411064
"ENSRNOG00000000048"	2117.93304207462	-0.000590120836718175	0.110469019125195	-0.00534195778500929	0.995737754630493	0.997857113381699
"ENSRNOG00000000060"	36.8700305706832	2.86814642472818	0.934422336440659	3.06943264611303	0.00214465758667832	0.0149190916994182
"ENSRNOG00000000062"	248.690921605848	0.603743552755246	0.179904912030083	3.35590366011957	0.000791061202094221	0.00598454996366933
"ENSRNOG00000000064"	1105.66545437647	-0.0464087487162099	0.141769685846502	-0.327353118116224	0.743400821034575	0.900360159118442
"ENSRNOG00000000065"	61.9366145515373	-0.966417904462728	0.684948351989399	-1.41093544010408	0.15826365107079	0.393398218375964
"ENSRNOG00000000070"	0.154807151636315	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
"ENSRNOG00000000073"	201.896632471946	0.559346191879479	0.198364168814372	2.81979449828417	0.0048054413259608	0.0285050042289947
"ENSRNOG00000000075"	307.862418015085	0.14602545619121	0.169432847133037	0.861848565151902	0.388770856063456	0.690266621990218
"ENSRNOG00000000081"	81.2549539957799	0.317594989805796	0.433955759566099	0.731860294061659	0.464253843304231	0.725547787947874
"ENSRNOG00000001531"	103.250990615002	0.0574385796309001	0.246115021318464	0.233381039983645	0.815465534621102	0.936515422124494
"ENSRNOG00000001912"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001942"	0.166904791710091	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
"ENSRNOG00000001945"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001949"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001950"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001951"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001957"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001960"	5.09554518136288	2.77414519360211	1.5515994256057	1.78792615401954	0.0737879226625274	0.235212631160926
"ENSRNOG00000001967"	0	NA	NA	NA	NA	NA
"ENSRNOG00000001973"	0.168658143165405	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
