baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000035	0	NA	NA	NA	NA	NA
ENSRNOG00000000041	1.34750440950896	0.0646678121914508	1.83000328178639	0.0353375389186867	0.971810590283772	NA
ENSRNOG00000000043	112.344798945744	0.22919962552943	0.349902313184559	0.655038897695245	0.512442710456646	0.757812367676234
ENSRNOG00000000044	431.806637355227	0.0543890926449005	0.144671908617862	0.375947847543537	0.706955668150751	0.885939648411065
ENSRNOG00000000048	2117.93304207462	-0.000590120836718954	0.110469019125194	-0.00534195778501639	0.995737754630488	0.997857113381702
ENSRNOG00000000060	36.8700305706832	2.86814642472818	0.934422336440659	3.06943264611303	0.00214465758667834	0.0149190916994203
ENSRNOG00000000062	248.690921605848	0.603743552755247	0.179904912030083	3.35590366011959	0.000791061202094191	0.0059845499636691
ENSRNOG00000000064	1105.66545437647	-0.0464087487162067	0.141769685846497	-0.327353118116213	0.743400821034583	0.900360159118451
ENSRNOG00000000065	61.9366145515373	-0.966417904462729	0.684948351989399	-1.41093544010408	0.158263651070789	0.393398218375962
ENSRNOG00000000070	0.154807151636315	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
ENSRNOG00000000073	201.896632471946	0.559346191879483	0.198364168814376	2.81979449828413	0.00480544132596138	0.0285050042289982
ENSRNOG00000000075	307.862418015085	0.146025456191213	0.169432847133037	0.86184856515192	0.388770856063446	0.6902666219902
ENSRNOG00000000081	81.2549539957799	0.317594989805795	0.4339557595661	0.731860294061655	0.464253843304233	0.725547787947874
ENSRNOG00000001531	103.250990615002	0.0574385796308985	0.246115021318461	0.233381039983641	0.815465534621105	0.936515422124493
ENSRNOG00000001912	0	NA	NA	NA	NA	NA
ENSRNOG00000001942	0.166904791710091	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
ENSRNOG00000001945	0	NA	NA	NA	NA	NA
ENSRNOG00000001949	0	NA	NA	NA	NA	NA
ENSRNOG00000001950	0	NA	NA	NA	NA	NA
ENSRNOG00000001951	0	NA	NA	NA	NA	NA
ENSRNOG00000001957	0	NA	NA	NA	NA	NA
ENSRNOG00000001960	5.09554518136288	2.77414519360212	1.5515994256057	1.78792615401954	0.0737879226625273	0.235212631160927
ENSRNOG00000001967	0	NA	NA	NA	NA	NA
ENSRNOG00000001973	0.168658143165405	-0.908145989626105	4.0804728567969	-0.222559007619275	0.823878743404926	NA
ENSRNOG00000001980	0	NA	NA	NA	NA	NA
