logFC	logCPM	LR	PValue	FDR
ENSRNOG00000009639	4.10774079778319	13.5301463376657	357.891937395172	8.10237281608488e-80	8.62092467631431e-77
ENSRNOG00000002180	2.31457163187144	12.166669278346	259.963137311169	1.74803985075512e-58	9.29957200601724e-56
ENSRNOG00000009267	2.54487780459208	12.0518593880843	177.740330154805	1.509436336758e-40	5.35346754103505e-38
ENSRNOG00000002139	2.07446753997001	11.4114537608064	176.999473265938	2.19072005400747e-40	5.82731534365988e-38
ENSRNOG00000009281	1.86159887068349	11.9421647005849	152.025181422611	6.25636948363041e-35	1.33135542611655e-32
ENSRNOG00000008079	1.34979161936167	13.3768192603028	150.194513588857	1.57196860605212e-34	2.78762432806575e-32
ENSRNOG00000010298	1.73552285829822	11.8378400146247	140.139490333273	2.48147861169777e-32	3.77184748978061e-30
ENSRNOG00000009881	1.79997100077828	11.2042001888057	137.891567140758	7.69668078199631e-32	1.02365854400551e-29
ENSRNOG00000019645	1.40114838671028	13.6555357029623	129.93276696387	4.23895105726717e-30	5.01138213881363e-28
ENSRNOG00000059479	-2.14265791588649	11.3186595030283	123.819453047059	9.22685471801838e-29	9.81737341997156e-27
