FIELD	SAMP1_RG1	SAMP1_RG2	SAMP1_RG3	SAMP2_RG1	SAMP2_RG2	SAMP2_RG3	SAMP3_RG1	SAMP3_RG2	SAMP3_RG3	SAMP4_RG1	SAMP4_RG2	SAMP4_RG3	SAMP5_RG1	SAMP5_RG2	SAMP5_RG3	SAMP6_RG1	SAMP6_RG2	SAMP6_RG3
Stranded_Rule_Code	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
READ_PAIR_OK	254636	257451	267339	267382	270190	283724	251856	254520	265882	263180	266901	279724	288823	291748	327782	234357	237193	248117
TOTAL_READ_PAIRS	305739	309055	321411	309417	312272	328524	315003	318389	332618	306177	309484	325261	331426	335125	376673	287794	291261	305383
DROPPED_NOT_PROPER_PAIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_PAIR_STRANDS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	51103	51604	54072	42035	42082	44800	63147	63869	66736	42997	42583	45537	42603	43377	48891	53437	54068	57266
DROPPED_NO_ALN_BLOCKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_MARKED_RG	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maxObservedReadLength	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREALIGNMENT_READ_CT	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	0.72	0.65	0.68	0.65	0.73	0.63	0.63	0.68	0.68	0.73	0.63	0.7	0.8	0.78	0.82	0.67	0.65	0.63
BENCHMARK_MinutesPerMillionReads	2.34	2.1	2.13	2.1	2.35	1.93	2.01	2.15	2.05	2.4	2.05	2.15	2.41	2.34	2.17	2.32	2.23	2.07
BENCHMARK_MinutesPerMillionGoodReads	2.81	2.52	2.56	2.43	2.71	2.23	2.51	2.68	2.57	2.79	2.37	2.5	2.77	2.68	2.49	2.84	2.74	2.55
ReadPairs_AmbigGene	560	576	599	524	528	529	481	451	517	501	517	593	549	545	626	554	583	643
ReadPairs_UniqueGene	96331	97879	101261	92642	93104	97203	89260	89757	93115	103915	105046	109557	114283	115132	129189	89158	90526	94582
ReadPairs_UniqueGene_CDS	75851	76863	79772	72536	72941	76222	68081	68658	71270	81253	82140	85617	89206	89717	100997	69483	70877	73912
ReadPairs_UniqueGene_UTR	20480	21016	21489	20106	20163	20981	21179	21099	21845	22662	22906	23940	25077	25415	28192	19675	19649	20670
ReadPairs_NoGene	157745	158996	165479	174216	176558	185992	162115	164312	172250	158764	161338	169574	173991	176071	197967	144645	146084	152892
ReadPairs_NoGene_Intron	81581	82119	84000	83407	84058	87369	80680	81853	84819	89909	90902	94428	100245	101043	112774	81257	82012	85144
ReadPairs_NoGene_OneKbFromGene	6214	6235	6542	5904	6179	6237	7642	7675	8010	7196	7298	7547	7534	7641	8478	6292	6094	6365
ReadPairs_NoGene_TenKbFromGene	14981	14990	15625	16981	17146	17987	17527	17896	18609	14417	14797	15516	15188	15435	17086	13089	13340	13919
ReadPairs_NoGene_MiddleOfNowhere	54969	55652	59312	67924	69175	74399	56266	56888	60812	47242	48341	52083	51024	51952	59629	44007	44638	47464
Genes_Total	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064	1064
Genes_WithZeroCounts	532	532	537	526	526	537	539	525	526	552	549	533	540	544	527	522	523	518
Genes_WithNonzeroCounts	532	532	527	538	538	527	525	539	538	512	515	531	524	520	537	542	541	546
InsertSizeCalc_Kept	241963	244718	254042	253146	255694	268554	233538	235979	246016	247421	250947	262758	271722	274410	307878	217154	219708	229450
InsertSizeCalc_lt_readLen	6169	6460	6465	6465	6643	6980	8747	8907	9214	7826	8203	8433	8506	8596	9726	7822	8214	8694
InsertSizeCalc_eq_readLen	2414	2482	2597	2680	2708	2900	3433	3471	3581	3066	3080	3252	3375	3509	3913	3137	3182	3326
InsertSizeCalc_readLen_to_2xreadLen	201202	203471	211159	210497	212193	222747	205239	207002	215931	215230	218105	228633	239199	241583	271064	190469	192372	200611
InsertSizeCalc_ge_2xreadLen	32178	32305	33821	33504	34150	35927	16119	16599	17290	21299	21559	22440	20642	20722	23175	15726	15940	16819
InsertSizeCalc_Drop_TOTAL	12673	12733	13297	14236	14496	15170	18318	18541	19866	15759	15954	16966	17101	17338	19904	17203	17485	18667
InsertSizeCalc_Drop_REASON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InsertSizeCalc_Drop_REASON2	1052	1053	995	1104	1120	1047	1102	1146	1096	1125	1203	1166	1399	1296	1485	1134	1109	1133
InsertSizeCalc_Drop_REASON3	11621	11680	12302	13132	13376	14123	17216	17395	18770	14634	14751	15800	15702	16042	18419	16069	16376	17534
AVG_GC_R1	0.45	0.45	0.45	0.45	0.45	0.45	0.44	0.44	0.44	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45
AVG_GC_R2	0.45	0.45	0.45	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
