chrom	strand	start	end	CT	junctionID	geneIDs
chr14	-	2325358	2325603	3	orphan_304	NO_KNOWN_GENE
chr14	-	2325658	2325858	10	orphan_15	NO_KNOWN_GENE
chr14	-	2325957	2326352	1	orphan_27	NO_KNOWN_GENE
chr14	+	2329291	2370758	31	orphan_299	NO_KNOWN_GENE
chr14	+	2329291	2386598	85	orphan_54	NO_KNOWN_GENE
chr14	+	2371894	2386598	16	orphan_28	NO_KNOWN_GENE
chr14	+	2386714	2423117	12	orphan_217	NO_KNOWN_GENE
chr14	+	2861116	2861669	2	orphan_101	NO_KNOWN_GENE
chr14	-	2861754	2863993	65	ambig_2	ENSRNOG00000023529|ENSRNOG00000061409
chr14	+	2861758	2863994	4	orphan_276	NO_KNOWN_GENE
chr14	+	2865986	2866072	1	orphan_328	NO_KNOWN_GENE
chr14	-	5428759	5437232	45	orphan_196	NO_KNOWN_GENE
chr14	-	5437285	5448788	4	orphan_16	NO_KNOWN_GENE
chr14	-	5545673	5549492	12	orphan_231	NO_KNOWN_GENE
chr14	-	5604052	5607717	10	orphan_146	NO_KNOWN_GENE
chr14	-	5744243	5746850	13	orphan_61	NO_KNOWN_GENE
chr14	-	7011759	7012137	2	orphan_293	NO_KNOWN_GENE
chr14	-	7013091	7014616	8	orphan_48	NO_KNOWN_GENE
chr14	-	7014686	7015402	2	orphan_41	NO_KNOWN_GENE
chr14	-	7015521	7016391	2	orphan_154	NO_KNOWN_GENE
chr14	-	7017671	7018936	2	orphan_17	NO_KNOWN_GENE
chr14	+	8384053	8387726	3	orphan_81	NO_KNOWN_GENE
chr14	+	8388804	8401375	0	orphan_109	NO_KNOWN_GENE
chr14	+	8401497	8404271	1	orphan_188	NO_KNOWN_GENE
chr14	+	8420302	8436419	0	orphan_258	NO_KNOWN_GENE
chr14	+	8436542	8467404	0	orphan_313	NO_KNOWN_GENE
chr14	-	8436542	8600424	40	ambig_1	ENSRNOG00000056944|ENSRNOG00000057639
chr14	+	8510183	8514190	11	orphan_136	NO_KNOWN_GENE
chr14	+	9169497	9201455	11	orphan_84	NO_KNOWN_GENE
chr14	-	11201193	11201298	0	orphan_159	NO_KNOWN_GENE
chr14	-	14192047	14222074	10	ambig_6	ENSRNOG00000002040|ENSRNOG00000057388
chr14	+	16921224	16922121	7	orphan_168	NO_KNOWN_GENE
chr14	+	17312445	17315017	0	orphan_132	NO_KNOWN_GENE
chr14	+	21065460	21066805	6	orphan_234	NO_KNOWN_GENE
chr14	-	33063577	33067451	1	orphan_142	NO_KNOWN_GENE
chr14	-	33068271	33069933	2	orphan_228	NO_KNOWN_GENE
chr14	-	33678987	33695079	9	orphan_195	NO_KNOWN_GENE
chr14	+	34418331	34419389	10	orphan_212	NO_KNOWN_GENE
chr14	+	34419469	34446611	10	orphan_45	NO_KNOWN_GENE
chr14	+	34419469	34446614	24	orphan_18	NO_KNOWN_GENE
chr14	+	34445899	34446005	9	orphan_42	NO_KNOWN_GENE
chr14	-	34985210	34992809	34	orphan_66	NO_KNOWN_GENE
chr14	+	35102382	35104533	0	orphan_111	NO_KNOWN_GENE
chr14	+	35109950	35114108	1	orphan_130	NO_KNOWN_GENE
chr14	+	36150740	36151354	9	orphan_253	NO_KNOWN_GENE
chr14	+	36151492	36154813	2	orphan_82	NO_KNOWN_GENE
chr14	+	36198073	36200879	0	orphan_91	NO_KNOWN_GENE
chr14	+	37433034	37435592	7	orphan_21	NO_KNOWN_GENE
chr14	+	38133584	38155744	49	orphan_126	NO_KNOWN_GENE
chr14	-	38162331	38162420	18	orphan_6	NO_KNOWN_GENE
chr14	+	42786827	42790607	2	orphan_156	NO_KNOWN_GENE
chr14	+	42807529	42807688	6	orphan_319	NO_KNOWN_GENE
chr14	+	43335154	43364597	12	orphan_137	NO_KNOWN_GENE
chr14	+	43364666	43374690	14	orphan_55	NO_KNOWN_GENE
chr14	+	43421044	43429991	4	orphan_44	NO_KNOWN_GENE
chr14	+	43430533	43430618	17	orphan_32	NO_KNOWN_GENE
chr14	+	43430679	43458940	4	orphan_314	NO_KNOWN_GENE
chr14	+	43459087	43461192	8	orphan_264	NO_KNOWN_GENE
chr14	+	43511824	43512897	7	orphan_23	NO_KNOWN_GENE
chr14	+	43703364	43760962	12	orphan_216	NO_KNOWN_GENE
chr14	+	43761043	43810115	14	orphan_178	NO_KNOWN_GENE
chr14	-	44032591	44036918	10	orphan_286	NO_KNOWN_GENE
chr14	-	44525100	44525525	3	orphan_266	NO_KNOWN_GENE
chr14	-	44525621	44526395	5	orphan_236	NO_KNOWN_GENE
chr14	-	44526528	44526842	3	orphan_33	NO_KNOWN_GENE
chr14	-	44526923	44527298	3	orphan_99	NO_KNOWN_GENE
chr14	+	46525593	46590132	1	ambig_5	ENSRNOG00000046600|ENSRNOG00000050545|ENSRNOG00000052311|ENSRNOG00000053693
chr14	+	46525597	46655051	6	ambig_4	ENSRNOG00000046081|ENSRNOG00000046600|ENSRNOG00000050545|ENSRNOG00000052311|ENSRNOG00000053693|ENSRNOG00000054197|ENSRNOG00000054657|ENSRNOG00000055956|ENSRNOG00000057514|ENSRNOG00000059586|ENSRNOG00000059852
chr14	+	46647503	46688117	23	ambig_3	ENSRNOG00000046081|ENSRNOG00000047351|ENSRNOG00000054685|ENSRNOG00000055956|ENSRNOG00000057514|ENSRNOG00000059394|ENSRNOG00000059586
chr14	+	46647503	46688135	11	ambig_0	ENSRNOG00000046081|ENSRNOG00000047351|ENSRNOG00000054685|ENSRNOG00000055956|ENSRNOG00000057514|ENSRNOG00000059394|ENSRNOG00000059586
chr14	-	71973437	71975783	42	orphan_112	NO_KNOWN_GENE
chr14	-	71976006	71979270	27	orphan_278	NO_KNOWN_GENE
chr14	-	78314656	78314840	17	orphan_56	NO_KNOWN_GENE
chr14	-	80917862	80918747	3	orphan_4	NO_KNOWN_GENE
chr14	+	81371347	81374515	3	orphan_241	NO_KNOWN_GENE
chr14	+	81379966	81380550	0	orphan_282	NO_KNOWN_GENE
chr14	-	82171569	82184053	24	orphan_104	NO_KNOWN_GENE
chr14	-	82184087	82187416	21	orphan_74	NO_KNOWN_GENE
chr14	+	83951845	83951917	2	orphan_312	NO_KNOWN_GENE
chr14	+	85138314	85142278	48	orphan_147	NO_KNOWN_GENE
chr14	-	85250106	85253137	2	orphan_331	NO_KNOWN_GENE
chr14	-	85537147	85537664	7	orphan_295	NO_KNOWN_GENE
chr14	+	86211545	86211650	0	orphan_246	NO_KNOWN_GENE
chr14	+	86211745	86211831	2	orphan_128	NO_KNOWN_GENE
chr14	-	86675933	86676732	0	orphan_163	NO_KNOWN_GENE
chr14	-	86676905	86677104	1	orphan_302	NO_KNOWN_GENE
chr14	-	86771130	86771591	41	orphan_43	NO_KNOWN_GENE
chr14	-	86771789	86774085	67	orphan_219	NO_KNOWN_GENE
chr14	-	86774169	86774315	10	orphan_288	NO_KNOWN_GENE
chr14	+	91909519	91910265	6	orphan_89	NO_KNOWN_GENE
chr14	+	91920071	91924115	1	orphan_187	NO_KNOWN_GENE
chr14	+	91974634	91978873	2	orphan_243	NO_KNOWN_GENE
chr14	+	92000071	92005227	29	orphan_62	NO_KNOWN_GENE
chr14	+	92005282	92027050	23	orphan_171	NO_KNOWN_GENE
chr14	+	92025433	92027050	33	orphan_124	NO_KNOWN_GENE
chr14	+	92027163	92050206	26	orphan_268	NO_KNOWN_GENE
chr14	+	92050387	92050499	10	orphan_272	NO_KNOWN_GENE
chr14	+	92050387	92058963	11	orphan_167	NO_KNOWN_GENE
chr14	+	94086738	94121956	12	orphan_237	NO_KNOWN_GENE
chr14	+	94122212	94150053	12	orphan_197	NO_KNOWN_GENE
chr14	+	94150189	94151322	7	orphan_238	NO_KNOWN_GENE
chr14	-	104493003	104497709	1	orphan_199	NO_KNOWN_GENE
chr14	-	104960143	104975573	18	orphan_138	NO_KNOWN_GENE
chr14	-	105067187	105067217	9	orphan_119	NO_KNOWN_GENE
