"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"CASE"	"CTRL"	"log2fold_CTRL_CASE"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SAMP1"	"countData.SAMP2"	"countData.SAMP3"	"countData.SAMP4"	"countData.SAMP5"	"countData.SAMP6"
"ENSRNOG00000050954:E001"	"ENSRNOG00000050954"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	182678	183555	878	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E002"	"ENSRNOG00000050954"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	184707	184830	124	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E003"	"ENSRNOG00000050954"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	186229	186453	225	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E004"	"ENSRNOG00000050954"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	189146	189973	828	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E005"	"ENSRNOG00000050954"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	190013	190189	177	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E006"	"ENSRNOG00000050954"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	190206	190293	88	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E007"	"ENSRNOG00000050954"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	192862	193068	207	"-"	0	0	0	0	0	0
"ENSRNOG00000050954:E008"	"ENSRNOG00000050954"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	194056	194072	17	"-"	0	0	0	0	0	0
"ENSRNOG00000047177:E001"	"ENSRNOG00000047177"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	216098	216133	36	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E002"	"ENSRNOG00000047177"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	216136	216302	167	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E003"	"ENSRNOG00000047177"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	218871	218958	88	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E004"	"ENSRNOG00000047177"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	218961	219152	192	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E005"	"ENSRNOG00000047177"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	219552	220355	804	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E006"	"ENSRNOG00000047177"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	221211	221435	225	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E007"	"ENSRNOG00000047177"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	222816	222939	124	"+"	0	0	0	0	0	0
"ENSRNOG00000047177:E008"	"ENSRNOG00000047177"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	224091	224974	884	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E001"	"ENSRNOG00000049387"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	308569	308774	206	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E002"	"ENSRNOG00000049387"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	311304	311586	283	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E003"	"ENSRNOG00000049387"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	312010	312816	807	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E004"	"ENSRNOG00000049387"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	313712	313936	225	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E005"	"ENSRNOG00000049387"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	314793	314916	124	"+"	0	0	0	0	0	0
"ENSRNOG00000049387:E006"	"ENSRNOG00000049387"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	337271	338157	887	"+"	0	0	0	0	0	0
"ENSRNOG00000046925:E001"	"ENSRNOG00000046925"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	512711	512997	287	"+"	0	0	0	0	0	0
"ENSRNOG00000046925:E002"	"ENSRNOG00000046925"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	513456	514046	591	"+"	0	0	0	0	0	0
"ENSRNOG00000046925:E003"	"ENSRNOG00000046925"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	514798	515365	568	"+"	0	0	0	0	0	0
"ENSRNOG00000047758:E001"	"ENSRNOG00000047758"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	523690	523976	287	"+"	0	0	0	0	0	0
"ENSRNOG00000047758:E002"	"ENSRNOG00000047758"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	524430	525023	594	"+"	0	0	0	0	0	0
"ENSRNOG00000047758:E003"	"ENSRNOG00000047758"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	525752	526319	568	"+"	0	0	0	0	0	0
"ENSRNOG00000048600:E001"	"ENSRNOG00000048600"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	658179	658746	568	"-"	0	0	0	0	0	0
"ENSRNOG00000048600:E002"	"ENSRNOG00000048600"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	659502	660092	591	"-"	0	0	0	0	0	0
"ENSRNOG00000048600:E003"	"ENSRNOG00000048600"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	660551	660837	287	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E001"	"ENSRNOG00000048117"	"E001"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	759050	759074	25	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E002"	"ENSRNOG00000048117"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	759178	759189	12	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E003"	"ENSRNOG00000048117"	"E003"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	759398	759409	12	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E004"	"ENSRNOG00000048117"	"E004"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	759410	759419	10	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E005"	"ENSRNOG00000048117"	"E005"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	759519	760107	589	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E006"	"ENSRNOG00000048117"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	760108	760112	5	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E007"	"ENSRNOG00000048117"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	761763	761767	5	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E008"	"ENSRNOG00000048117"	"E008"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	761768	762056	289	"-"	0	0	0	0	0	0
"ENSRNOG00000048117:E009"	"ENSRNOG00000048117"	"E009"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	763221	763344	124	"-"	0	0	0	0	0	0
