chrom	strand	start	end	CT
chr14	-	43240	55733	1
chr14	-	53002	142244	1
chr14	-	101602	102706	1
chr14	-	106945	108049	1
chr14	+	960997	1148654	1
chr14	+	1339695	1348474	1
chr14	+	1339695	1354987	1
chr14	+	1339695	1355003	5
chr14	+	1348550	1355003	2
chr14	+	1355548	1356666	5
chr14	-	1374767	1564829	1
chr14	+	1389019	1391771	3
chr14	+	1389019	1414364	1
chr14	-	1393436	1396154	1
chr14	+	1402565	1407290	1
chr14	+	1409073	1561860	1
chr14	+	1417492	1417538	1
chr14	-	1457816	1458224	1
chr14	+	1457816	1458253	1
chr14	-	1458696	1459616	1
chr14	-	1463882	1464380	2
chr14	-	1464467	1464666	1
chr14	-	1464981	1465781	2
chr14	-	1529357	1631537	1
chr14	+	1575686	2070893	1
chr14	+	1579545	2090246	1
chr14	+	1962751	1962948	1
chr14	+	1978972	1979799	1
chr14	+	1979358	1979799	1
chr14	+	1985272	1986395	3
chr14	+	2011824	2420755	1
chr14	-	2043888	2044707	1
chr14	-	2045675	2046015	2
chr14	+	2073296	2409878	1
chr14	+	2078040	2078411	1
chr14	+	2079996	2080111	1
chr14	-	2086468	2087884	3
chr14	-	2087488	2087947	1
chr14	-	2087582	2087871	1
chr14	-	2088457	2090936	4
chr14	-	2091860	2099817	3
chr14	-	2092283	2099817	2
chr14	-	2097135	2097269	9
chr14	+	2103735	2103769	1
chr14	+	2105873	2106676	1
chr14	+	2106748	2107480	1
chr14	+	2107648	2113602	3
chr14	+	2112003	2112112	2
chr14	+	2116856	2123147	4
chr14	+	2126761	2126980	1
chr14	+	2138406	2138871	1
chr14	+	2139483	2140557	1
chr14	+	2139524	2144896	1
chr14	+	2140612	2144896	2
chr14	+	2145090	2147283	1
chr14	+	2147682	2148142	8
chr14	+	2149491	2166839	2
chr14	+	2166303	2166421	1
chr14	+	2166673	2166818	1
chr14	-	2166935	2171703	1
chr14	+	2175415	2175523	1
chr14	+	2258531	2259639	1
chr14	-	2285304	2285352	1
chr14	+	2311513	2314086	1
chr14	+	2317838	2317894	1
chr14	-	2317838	2317894	1
chr14	+	2325291	2325603	1
chr14	-	2325358	2325603	3
chr14	+	2325400	2325603	2
chr14	+	2325658	2325837	1
chr14	-	2325658	2325858	10
chr14	-	2325957	2326352	1
chr14	-	2328982	2331045	1
chr14	+	2329291	2329723	1
chr14	+	2329291	2341643	1
chr14	+	2329291	2355827	1
chr14	+	2329291	2369017	3
chr14	+	2329291	2370714	1
chr14	+	2329291	2370758	31
chr14	+	2329291	2371008	1
chr14	+	2329291	2385267	1
chr14	+	2329291	2386598	85
chr14	+	2329291	2423117	3
chr14	+	2329291	2423120	1
chr14	+	2331538	2331645	1
chr14	+	2339320	2484127	2
chr14	+	2350928	2847803	1
chr14	-	2357284	2361356	1
chr14	-	2357284	2361811	1
chr14	+	2361246	2361267	1
chr14	+	2365143	2365181	1
chr14	+	2367412	2631334	2
chr14	+	2367412	2631335	2
chr14	+	2369121	2370758	4
chr14	+	2369121	2372637	1
chr14	+	2369121	2386598	6
chr14	+	2371894	2372637	2
chr14	+	2371894	2386598	16
chr14	+	2372746	2386598	2
chr14	+	2381811	2500352	1
chr14	+	2382868	2386598	1
chr14	-	2382940	2383133	1
chr14	-	2383219	2386138	1
chr14	+	2385421	2386598	6
