geneID	geneName	chr	start	end	strand	baseMean	geneWisePadj	mostSigID	mostSigPadjust	numExons	numKnown	numNovel	exonsSig	knownSig	novelSig	numFeatures	numSig
ENSRNOG00000002210	ENSRNOG00000002210	chr14	7073444	7104566	+	3101.3	0.0188564613444983	E002	0.00993	7	6	2	1	0	0	7/6/2	1/0/0
ENSRNOG00000056944	ENSRNOG00000056944	chr14	8383315	8548130	-	10648.6	0.00831013400964553	N026	0.00265	12	13	2	0	0	1	12/13/2	0/0/1
ENSRNOG00000002208	ENSRNOG00000002208	chr14	16622759	16903242	-	1008.3	0.00605499938134703	E011	0.00265	11	10	1	1	0	0	11/10/1	1/0/0
ENSRNOG00000003134	ENSRNOG00000003134	chr14	20479322	20920286	-	2762.2	1.15052412041905e-12	E028	1.16e-12	29	28	4	1	1	1	29/28/4	1/1/1
ENSRNOG00000019645	ENSRNOG00000019645	chr14	83943976	84106997	-	3694.8	0.0133384243082166	E013	0.00628	15	14	6	1	0	0	15/14/6	1/0/0
ENSRNOG00000025695	ENSRNOG00000025695	chr14	88673880	88886198	-	1110.9	0.00694783255045983	E001	0.00265	32	31	1	1	0	0	32/31/1	1/0/0
ENSRNOG00000004327	ENSRNOG00000004327	chr14	91905918	91996774	-	5872.4	7.16684485091434e-08	J025	4.78e-08	17	17	1	2	2	0	17/17/1	2/2/0
ENSRNOG00000008079	ENSRNOG00000008079	chr14	106208175	106249103	-	3364.6	1.38062894450286e-11	E013	1.4e-11	13	10	1	1	1	0	13/10/1	1/1/0
ENSRNOG00000009281	ENSRNOG00000009281	chr14	107664254	107760191	-	1132.5	1.16586444202464e-09	E003	1.17e-09	3	2	3	1	1	2	3/2/3	1/1/2
ENSRNOG00000004621	ENSRNOG00000004621	chr14	114126942	114174458	+	4707.5	0.0137919797212087	E009	0.0069	14	11	0	1	0	0	14/11/0	1/0/0
