spliceName	chrom	strand	start	end	CT
ENSRNOG00000000035:J006	chr14	+	1937164	1949904	0
ENSRNOG00000000035:J007	chr14	+	1950002	1955493	0
ENSRNOG00000000035:J008	chr14	+	1955619	1956461	0
ENSRNOG00000000035:J009	chr14	+	1956608	1957429	0
ENSRNOG00000000041:J004	chr14	+	2050822	2051977	0
ENSRNOG00000000041:J005	chr14	+	2052592	2053333	0
ENSRNOG00000000043:J015	chr14	-	2043087	2043203	11
ENSRNOG00000000043:J016	chr14	-	2043304	2043613	9
ENSRNOG00000000043:J017	chr14	-	2043690	2043762	7
ENSRNOG00000000043:J018	chr14	-	2043888	2043985	0
ENSRNOG00000000043:J019	chr14	-	2044107	2044186	2
ENSRNOG00000000043:J020	chr14	-	2044399	2044707	2
ENSRNOG00000000043:J021	chr14	-	2044924	2045034	8
ENSRNOG00000000043:J022	chr14	-	2045214	2045288	2
ENSRNOG00000000043:J023	chr14	-	2045491	2045579	1
ENSRNOG00000000043:J024	chr14	-	2045675	2045966	1
ENSRNOG00000000043:J025	chr14	-	2046074	2046199	7
ENSRNOG00000000043:J026	chr14	-	2046285	2055800	4
ENSRNOG00000000043:J027	chr14	-	2055941	2056527	0
ENSRNOG00000000044:J012	chr14	-	2084577	2085915	15
ENSRNOG00000000044:J013	chr14	-	2086051	2086389	23
ENSRNOG00000000044:J014	chr14	-	2086468	2087417	21
ENSRNOG00000000044:J015	chr14	-	2087582	2087884	20
ENSRNOG00000000044:J016	chr14	-	2087968	2088421	18
ENSRNOG00000000044:J017	chr14	-	2088457	2088692	30
ENSRNOG00000000044:J018	chr14	-	2088744	2090936	27
ENSRNOG00000000044:J019	chr14	-	2091034	2091821	19
ENSRNOG00000000044:J020	chr14	-	2091860	2092029	14
ENSRNOG00000000044:J021	chr14	-	2092283	2099555	0
ENSRNOG00000000048:J029	chr14	+	2100354	2105812	29
ENSRNOG00000000048:J030	chr14	+	2105874	2106688	52
ENSRNOG00000000048:J031	chr14	+	2106748	2107533	78
ENSRNOG00000000048:J032	chr14	+	2107648	2113597	97
ENSRNOG00000000048:J033	chr14	+	2113740	2116730	122
ENSRNOG00000000048:J034	chr14	+	2116856	2120738	161
ENSRNOG00000000048:J035	chr14	+	2120828	2123147	91
ENSRNOG00000000048:J036	chr14	+	2123283	2123673	113
ENSRNOG00000000048:J037	chr14	+	2123786	2125287	77
ENSRNOG00000000048:J038	chr14	+	2125372	2127123	50
